first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,Age,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,address,postcode,state,country,property_valuation,Rank,Value
Brena,Schnitter,Female,78,1982-10-11,40.0,Account Executive,Manufacturing,Mass Customer,N,No,4,67 Shelley Street,4703,QLD,Australia,5,25,1.484375
Rourke,Gillbard,Male,11,1945-08-03,77.0,other,Property,Mass Customer,N,No,17,75 Cordelia Trail,4817,QLD,Australia,4,26,1.46875
Dyane,Burwell,Female,19,1952-06-27,70.0,Engineer II,Retail,Mass Customer,N,Yes,7,51 Hooker Court,2640,NSW,Australia,2,26,1.46875
Claudine,Barstowk,Female,71,1966-07-20,56.0,Nurse,Property,High Net Worth,N,Yes,5,1859 Forest Circle,4000,QLD,Australia,11,26,1.46875
Blinnie,Roze,Female,84,1960-12-10,62.0,Librarian,Entertainment,High Net Worth,N,No,11,44557 Rutledge Court,4171,QLD,Australia,7,26,1.46875
Rhona,De Freyne,Female,45,1960-11-22,62.0,other,Health,High Net Worth,N,No,8,11184 East Drive,3056,VIC,Australia,10,30,1.4609375
Sharron,Claibourn,Female,62,1980-01-26,43.0,other,Financial Services,High Net Worth,N,Yes,17,555 Hermina Avenue,2280,NSW,Australia,8,30,1.4609375
Brien,Heaton,Male,70,1951-11-28,71.0,Clinical Specialist,Health,Mass Customer,N,Yes,12,8 Novick Trail,2470,NSW,Australia,2,32,1.453125
Sybilla,MacCart,Female,88,1987-01-15,36.0,Paralegal,Financial Services,Mass Customer,N,Yes,7,74 Welch Pass,2620,NSW,Australia,7,32,1.453125
Maisie,Maddox,Female,27,1977-05-09,45.0,Assistant Manager,Financial Services,Affluent Customer,N,No,20,8 Dennis Point,3226,VIC,Australia,9,32,1.453125
Arleen,Casbolt,Female,48,1975-05-10,47.0,Senior Quality Engineer,Financial Services,Affluent Customer,N,Yes,13,41042 Lotheville Crossing,4817,QLD,Australia,1,36,1.44765625
Mitchell,MacCague,Male,58,1979-04-11,43.0,other,Manufacturing,Mass Customer,N,No,15,240 Acker Avenue,3190,VIC,Australia,8,38,1.4375
Garik,Whitwell,Male,44,1955-06-13,67.0,other,Property,Mass Customer,N,Yes,13,04 Dexter Way,3280,VIC,Australia,2,38,1.4375
Antonin,Britt,Male,64,1993-08-28,29.0,other,Manufacturing,Affluent Customer,N,Yes,8,011 Northland Trail,2160,NSW,Australia,9,40,1.434375
Vinny,Incogna,Female,73,1953-02-13,70.0,other,Health,High Net Worth,N,No,10,8 Grayhawk Circle,2756,NSW,Australia,8,40,1.434375
Colene,Fishleigh,Female,24,1985-03-14,37.0,Design Engineer,Financial Services,Mass Customer,N,No,3,44 Darwin Lane,3149,VIC,Australia,10,42,1.421875
Neile,Argent,Female,79,1946-10-25,76.0,other,Retail,Mass Customer,N,No,8,2548 Arrowood Pass,2024,NSW,Australia,10,42,1.421875
Gipsy,Ewestace,Female,29,1956-08-30,66.0,Business Systems Development Analyst,Retail,High Net Worth,N,Yes,5,08708 Moulton Park,2034,NSW,Australia,12,46,1.4078125
Sheena,Kybbye,Female,14,1956-07-16,66.0,Paralegal,Financial Services,Affluent Customer,N,Yes,19,306 Clemons Junction,4852,QLD,Australia,1,46,1.4078125
Gale,Disbrow,Female,59,1977-05-14,45.0,Cost Accountant,Financial Services,Mass Customer,N,Yes,17,169 Bashford Drive,3741,VIC,Australia,7,46,1.4078125
Thaxter,Kingsbury,Male,12,1950-05-03,72.0,Product Engineer,Argiculture,Mass Customer,N,No,20,3 Vermont Lane,2067,NSW,Australia,12,50,1.40625
Heinrick,Shilstone,Male,60,1978-02-11,45.0,other,Manufacturing,Affluent Customer,N,No,10,998 Gale Park,3174,VIC,Australia,8,50,1.40625
Taylor,Steuhlmeyer,Male,62,1999-03-22,23.0,Paralegal,Financial Services,Affluent Customer,N,Yes,5,64 Mcguire Trail,4017,QLD,Australia,8,52,1.39453125
Griswold,Kelsall,Male,55,1993-12-19,29.0,Social Worker,Health,High Net Worth,N,Yes,11,74127 Blaine Point,3805,VIC,Australia,7,52,1.39453125
Odessa,Mc Andrew,Female,97,1981-12-01,41.0,other,Property,Mass Customer,N,No,8,31756 Meadow Valley Lane,2232,NSW,Australia,10,54,1.38125
Lavena,Seekings,Female,87,1995-03-25,27.0,Payment Adjustment Coordinator,Retail,Mass Customer,N,No,16,293 Mayfield Street,3166,VIC,Australia,10,54,1.38125
Martelle,Tuppeny,Female,52,1981-02-03,42.0,Marketing Assistant,Manufacturing,Mass Customer,N,No,9,261 Grayhawk Way,2226,NSW,Australia,10,54,1.38125
Briant,Ladley,Male,75,1979-12-17,43.0,Recruiter,Argiculture,Mass Customer,N,No,12,2 Schlimgen Terrace,2750,NSW,Australia,8,57,1.375
Lorrie,Antonelli,Male,47,1983-02-11,40.0,Cost Accountant,Financial Services,High Net Worth,N,Yes,17,06936 Bobwhite Circle,2257,NSW,Australia,7,57,1.375
Jedediah,Kedie,Male,31,1971-12-29,51.0,Developer I,Argiculture,Mass Customer,N,Yes,9,283 Acker Drive,2763,NSW,Australia,9,62,1.36796875
Kaine,Smallcombe,Male,59,1942-02-06,81.0,Senior Financial Analyst,Financial Services,High Net Worth,N,No,11,9 Mosinee Parkway,2072,NSW,Australia,10,62,1.36796875
Loise,Iltchev,Female,70,1967-03-18,55.0,Electrical Engineer,Manufacturing,High Net Worth,N,Yes,17,45 Becker Place,4504,QLD,Australia,6,62,1.36796875
Cristen,Maroney,Female,22,1999-11-21,23.0,Accountant IV,IT,High Net Worth,N,Yes,7,27 Karstens Crossing,4214,QLD,Australia,7,65,1.3625
Dorothy,Barnardo,Female,58,1983-02-01,40.0,Human Resources Manager,Retail,High Net Worth,N,No,12,9630 Cottonwood Avenue,2168,NSW,Australia,8,65,1.3625
Rosmunda,Duxbarry,Female,69,1996-07-20,26.0,Executive Secretary,Property,Affluent Customer,N,Yes,5,989 Graedel Terrace,4208,QLD,Australia,11,65,1.3625
Rozamond,Riha,Female,54,1984-10-07,38.0,Account Representative I,Manufacturing,Affluent Customer,N,Yes,16,76 Bartelt Center,4078,QLD,Australia,7,68,1.3546875
Gunner,Petti,Male,62,1999-06-08,23.0,Executive Secretary,Financial Services,High Net Worth,N,Yes,3,29778 Mendota Drive,4036,QLD,Australia,5,68,1.3546875
Sherilyn,Canero,Female,11,1996-08-03,26.0,Dental Hygienist,Health,High Net Worth,N,Yes,13,8288 Lyons Way,2484,NSW,Australia,7,68,1.3546875
Bessie,Roscow,Female,78,1994-08-04,28.0,GIS Technical Architect,Financial Services,Mass Customer,N,No,9,4185 Florence Trail,2121,NSW,Australia,10,72,1.35
Kevina,Ferandez,Female,73,1999-09-21,23.0,Assistant Professor,Financial Services,High Net Worth,N,No,15,9608 Heffernan Drive,4068,QLD,Australia,9,72,1.35
Mabelle,Wellbelove,Female,76,1958-04-21,64.0,other,Financial Services,Affluent Customer,N,Yes,19,800 Emmet Park,2219,NSW,Australia,9,72,1.35
Hasheem,Groucock,Male,98,1974-09-17,48.0,Budget/Accounting Analyst IV,Manufacturing,High Net Worth,N,Yes,10,12351 Spenser Pass,2034,NSW,Australia,12,72,1.35
Tobias,Woodhams,Male,0,1961-04-15,61.0,Research Nurse,Health,Mass Customer,N,No,17,4 Valley Edge Plaza,2759,NSW,Australia,9,77,1.34140625
Glennis,Flintoff,Female,36,1956-10-22,66.0,Speech Pathologist,Health,Affluent Customer,N,Yes,13,1601 Rutledge Lane,3030,VIC,Australia,7,78,1.3375
Chanda,Mensler,Female,15,1972-01-14,51.0,Computer Systems Analyst IV,Manufacturing,Mass Customer,N,Yes,13,0 Mockingbird Plaza,2212,NSW,Australia,10,78,1.3375
Katheryn,Kinner,Female,15,1973-11-28,49.0,Analyst Programmer,Entertainment,High Net Worth,N,No,6,1665 Kenwood Center,2518,NSW,Australia,6,78,1.3375
Sumner,Carrivick,Male,53,1995-04-09,27.0,Desktop Support Technician,Manufacturing,Mass Customer,N,No,15,5 4th Center,2097,NSW,Australia,12,78,1.3375
Valerie,Pickover,Female,34,1965-09-08,57.0,Editor,Financial Services,Mass Customer,N,No,9,92214 Spenser Road,2756,NSW,Australia,8,78,1.3375
Esther,Rooson,Female,14,1981-02-22,42.0,other,Financial Services,Mass Customer,N,No,5,5186 Main Trail,2046,NSW,Australia,9,78,1.3375
Gardie,Crellim,Male,58,1975-09-12,47.0,Biostatistician IV,Manufacturing,High Net Worth,N,No,8,564 Forest Dale Avenue,3161,VIC,Australia,12,84,1.328125
Sean,O'Loughlin,Male,48,1961-03-22,61.0,Database Administrator III,Manufacturing,High Net Worth,N,Yes,16,83 Old Gate Point,2576,NSW,Australia,10,85,1.325
Marysa,Rouchy,Female,8,1999-02-15,24.0,Assistant Media Planner,Entertainment,Affluent Customer,N,No,5,411 Twin Pines Way,2026,NSW,Australia,9,85,1.325
Ossie,Midden,Male,49,1950-02-10,73.0,Physical Therapy Assistant,Manufacturing,Mass Customer,N,Yes,14,4915 Debra Center,2479,NSW,Australia,9,89,1.3125
Sid,Carlone,Male,24,1971-08-18,51.0,Structural Engineer,Health,Affluent Customer,N,No,16,76 Sunnyside Avenue,4670,QLD,Australia,2,89,1.3125
Patricia,Everix,Female,34,1978-02-19,45.0,Director of Sales,Health,Mass Customer,N,No,19,91164 Washington Terrace,2263,NSW,Australia,7,89,1.3125
Andromache,Bonafacino,Female,84,1977-09-01,45.0,other,Retail,Mass Customer,N,No,11,74 Carpenter Street,2015,NSW,Australia,9,89,1.3125
Jehu,Prestedge,Male,91,1999-10-20,23.0,other,Manufacturing,High Net Worth,N,Yes,8,88 Annamark Avenue,2138,NSW,Australia,12,96,1.3
Symon,Mawne,Male,18,1943-02-08,80.0,Human Resources Assistant IV,Property,Mass Customer,N,Yes,15,37439 High Crossing Circle,3350,VIC,Australia,4,96,1.3
Karlik,Penchen,Male,60,1994-10-31,28.0,Nurse Practicioner,Retail,Mass Customer,N,No,11,5 Nevada Point,4017,QLD,Australia,6,96,1.3
Bengt,Bilson,Male,26,1972-11-02,50.0,Structural Engineer,Manufacturing,High Net Worth,N,No,11,67 Grayhawk Circle,2232,NSW,Australia,10,99,1.296875
Evangelin,Boc,Female,30,2000-05-09,22.0,Structural Analysis Engineer,Manufacturing,High Net Worth,N,Yes,14,0 Meadow Ridge Street,3173,VIC,Australia,8,99,1.296875
Hanny,Treven,Female,84,1991-01-22,32.0,Associate Professor,Retail,Mass Customer,N,No,3,5 Quincy Street,4118,QLD,Australia,4,99,1.296875
Gina,Mallon,Female,56,1994-02-11,29.0,Dental Hygienist,Health,Mass Customer,N,No,12,13025 Johnson Plaza,4670,QLD,Australia,2,102,1.28828125
Reynold,Elman,Male,19,1940-01-18,83.0,Marketing Manager,Manufacturing,Mass Customer,N,No,9,966 Sunnyside Center,2390,NSW,Australia,2,102,1.28828125
Flossy,Concannon,Female,64,1980-10-20,42.0,Staff Accountant IV,Financial Services,Affluent Customer,N,No,8,802 Mallory Park,3919,VIC,Australia,2,104,1.2875
Cristen,Wiltshire,Female,59,1961-10-20,61.0,VP Sales,Financial Services,High Net Worth,N,Yes,15,93 Judy Drive,3047,VIC,Australia,6,104,1.2875
Griffith,Escot,Male,50,1946-10-23,76.0,Accountant III,IT,Mass Customer,N,Yes,16,94 Manitowish Court,4116,QLD,Australia,3,104,1.2875
Jamie,Jiruca,Female,21,1963-06-16,59.0,Recruiting Manager,Argiculture,Mass Customer,N,No,18,5013 Erie Crossing,2230,NSW,Australia,9,104,1.2875
Lyon,Brittan,Male,14,1972-04-23,50.0,Sales Representative,Retail,High Net Worth,N,No,19,540 Sachs Road,3153,VIC,Australia,8,104,1.2875
Michal,Bryan,Female,1,1969-11-09,53.0,other,Manufacturing,Mass Customer,N,Yes,16,4275 Bluestem Pass,4000,QLD,Australia,8,104,1.2875
Franciska,Stigell,Female,95,1968-11-15,54.0,Food Chemist,Health,Mass Customer,N,Yes,7,6 Anderson Junction,3802,VIC,Australia,7,111,1.28125
Jordan,Clampe,Male,37,1939-12-09,83.0,Staff Scientist,Financial Services,Mass Customer,N,Yes,11,276 Westend Road,4207,QLD,Australia,5,111,1.28125
Meriel,Tapp,Female,0,1995-08-13,27.0,VP Sales,IT,Mass Customer,N,No,5,65 Milwaukee Hill,3280,VIC,Australia,2,114,1.275
Dolley,Starmont,Female,53,1977-11-08,45.0,Geologist IV,Manufacturing,Affluent Customer,N,No,18,4252 Dovetail Pass,4129,QLD,Australia,6,114,1.275
Frederik,Milan,Male,45,1997-11-13,25.0,other,Health,Mass Customer,N,No,5,56 Riverside Street,2546,NSW,Australia,5,114,1.275
Rollo,Louedey,Male,64,1946-07-09,76.0,Information Systems Manager,Telecommunications,Affluent Customer,N,Yes,17,7 Cascade Park,2089,NSW,Australia,9,114,1.275
Jerrine,Cosbey,Female,21,1978-01-11,45.0,Junior Executive,Financial Services,High Net Worth,N,Yes,6,29307 Russell Avenue,3094,VIC,Australia,9,114,1.275
Roddy,Rubinshtein,Male,37,1987-10-08,35.0,Nurse Practicioner,Retail,Mass Customer,N,Yes,4,3 Mcguire Crossing,4510,QLD,Australia,7,114,1.275
Viki,Coutts,Female,2,1952-12-14,70.0,Automation Specialist II,Property,Mass Customer,N,Yes,7,6 Golf View Alley,2287,NSW,Australia,4,120,1.2625
Ashby,Bispham,Male,71,1981-10-29,41.0,Software Consultant,Retail,Affluent Customer,N,No,4,83716 Russell Lane,2145,NSW,Australia,8,120,1.2625
Peria,Rantoull,Female,3,1975-03-13,47.0,Financial Analyst,Financial Services,Mass Customer,N,No,4,8350 Moulton Terrace,4500,QLD,Australia,4,120,1.2625
Elsworth,Abbitt,Male,71,1956-02-08,67.0,other,Health,Mass Customer,N,Yes,6,9722 Northport Way,3500,VIC,Australia,3,125,1.26171875
Rebeca,Aggas,Female,66,1953-02-27,70.0,Social Worker,Health,Affluent Customer,N,No,21,7026 Katie Lane,3818,VIC,Australia,1,127,1.25
Ricki,Dobrowski,Male,13,1975-03-10,47.0,Civil Engineer,Manufacturing,Mass Customer,N,Yes,9,8 Eggendart Pass,2835,NSW,Australia,1,127,1.25
Georgetta,Lovett,Female,42,1940-02-02,83.0,Editor,Retail,Mass Customer,N,No,12,1 Bluejay Place,4405,QLD,Australia,1,127,1.25
Bambi,Cogger,Female,51,1990-07-12,32.0,Design Engineer,Retail,Affluent Customer,N,Yes,5,28970 Monument Lane,2560,NSW,Australia,7,127,1.25
Aurie,Rhead,Female,78,1962-07-28,60.0,Geological Engineer,Manufacturing,Affluent Customer,N,Yes,5,235 Mendota Court,2650,NSW,Australia,2,127,1.25
Nowell,Preddy,Male,29,1985-07-23,37.0,other,Manufacturing,Mass Customer,N,No,9,932 Glendale Avenue,2173,NSW,Australia,9,133,1.2375
Lacy,Drance,Female,27,1978-02-05,45.0,Graphic Designer,Manufacturing,Affluent Customer,N,Yes,14,492 Waywood Lane,2750,NSW,Australia,8,133,1.2375
Malorie,Votier,Female,90,1990-05-29,32.0,Graphic Designer,Manufacturing,Affluent Customer,N,No,4,6160 Weeping Birch Hill,4509,QLD,Australia,5,133,1.2375
Shepperd,Ricards,Male,28,1967-09-27,55.0,Social Worker,Health,Mass Customer,N,Yes,16,7 Oakridge Lane,2284,NSW,Australia,4,133,1.2375
Daryl,Pauncefort,Female,12,1979-06-18,43.0,Community Outreach Specialist,Financial Services,Mass Customer,N,Yes,12,0 Dexter Parkway,2380,NSW,Australia,3,133,1.2375
Norina,Blakeway,Female,60,1980-02-11,43.0,Programmer Analyst II,Property,Mass Customer,N,Yes,3,75813 Lawn Lane,3081,VIC,Australia,8,133,1.2375
My,Chaston,Male,92,1966-07-16,56.0,Desktop Support Technician,Manufacturing,Affluent Customer,N,Yes,16,74613 Northport Park,3765,VIC,Australia,9,133,1.2375
Isak,Bergstram,Male,14,2001-03-08,21.0,Pharmacist,Health,Affluent Customer,N,Yes,15,68 Karstens Pass,2176,NSW,Australia,9,142,1.23515625
Grannie,Cracker,Male,28,1949-03-06,73.0,VP Marketing,Retail,Mass Customer,N,Yes,20,87254 Hermina Pass,4217,QLD,Australia,8,142,1.23515625
Welby,Lourenco,Male,6,1975-12-27,47.0,Senior Cost Accountant,Financial Services,High Net Worth,N,Yes,17,801 Atwood Alley,2138,NSW,Australia,9,144,1.234375
Glenn,Casbourne,Female,4,1981-08-08,41.0,Senior Editor,Manufacturing,Mass Customer,N,No,6,2 Morrow Alley,4207,QLD,Australia,1,144,1.234375
Nadiya,Balasini,Female,40,1950-11-05,72.0,Sales Associate,Financial Services,Mass Customer,N,No,15,92934 Mallory Trail,2164,NSW,Australia,9,146,1.225
Tyne,Coate,Female,82,1965-07-15,57.0,Developer II,Manufacturing,Mass Customer,N,No,17,90820 Thackeray Street,2218,NSW,Australia,8,146,1.225
Christie,Anders,Male,38,1969-10-02,53.0,VP Marketing,Retail,Mass Customer,N,No,16,48 Ludington Plaza,2153,NSW,Australia,10,146,1.225
Agnella,Capener,Female,58,1969-05-21,53.0,Teacher,Health,High Net Worth,N,No,19,49185 Derek Circle,3977,VIC,Australia,6,146,1.225
Bernardine,Delmonti,Female,39,1971-03-31,51.0,other,Property,Mass Customer,N,No,17,0721 Meadow Ridge Pass,2540,NSW,Australia,8,146,1.225
Daisy,Spowart,Female,60,1967-12-18,55.0,Staff Accountant I,Health,Affluent Customer,N,Yes,4,115 Westridge Road,4570,QLD,Australia,3,146,1.225
Denys,Minshall,Female,30,1961-12-26,61.0,Environmental Tech,Manufacturing,Affluent Customer,N,Yes,14,7 Myrtle Lane,2324,NSW,Australia,8,152,1.221875
Archibald,Blessed,Male,61,1969-02-10,54.0,VP Sales,Financial Services,Mass Customer,N,Yes,18,7795 Memorial Drive,2016,NSW,Australia,11,153,1.21875
Feodor,Englishby,Male,54,1961-08-14,61.0,Account Coordinator,Health,Mass Customer,N,No,11,24695 Boyd Road,3201,VIC,Australia,5,154,1.203125
Skippie,Yearsley,Male,6,1956-09-04,66.0,Compensation Analyst,Financial Services,Mass Customer,N,No,9,95306 John Wall Avenue,4350,QLD,Australia,5,155,1.2
Bill,,Female,74,1963-04-24,59.0,Human Resources Assistant II,Property,Mass Customer,N,Yes,19,6704 Pine View Lane,2170,NSW,Australia,9,155,1.2
Tessa,Friese,Female,89,1976-10-24,46.0,Health Coach II,Financial Services,Mass Customer,N,No,21,98158 Alpine Point,4212,QLD,Australia,9,157,1.1953125
Roseanne,Caruth,Female,16,1957-05-25,65.0,Programmer Analyst III,Health,Mass Customer,N,No,7,33652 Lyons Alley,2763,NSW,Australia,9,158,1.1875
Nichole,Leisman,Male,37,1986-08-07,36.0,Geologist III,Property,Affluent Customer,N,No,4,35151 Bunker Hill Crossing,2068,NSW,Australia,12,158,1.1875
Amil,Ennor,Female,23,1995-08-04,27.0,Health Coach II,Health,Mass Customer,N,Yes,10,2093 Amoth Pass,3109,VIC,Australia,11,158,1.1875
Shawna,Hinrichsen,Female,60,1969-08-27,53.0,Assistant Professor,Manufacturing,Affluent Customer,N,Yes,9,57343 Eagan Avenue,2326,NSW,Australia,2,163,1.18203125
Robert,Corkill,Male,55,1976-03-12,46.0,Clinical Specialist,Health,Mass Customer,N,No,4,5612 Toban Point,2227,NSW,Australia,10,166,1.175
Elvira,Kurten,Female,65,1973-03-18,49.0,Assistant Professor,Financial Services,High Net Worth,N,No,12,65 Ridge Oak Court,2471,NSW,Australia,3,166,1.175
Juliana,Mitchenson,Female,55,1989-01-05,34.0,Environmental Tech,Manufacturing,Mass Customer,N,Yes,8,74 Russell Terrace,4350,QLD,Australia,4,166,1.175
Regine,Bownes,Female,99,1952-07-01,70.0,Senior Developer,Retail,Affluent Customer,N,No,15,255 Loeprich Lane,3752,VIC,Australia,9,166,1.175
Abner,Fraschetti,Male,33,1986-01-23,37.0,Staff Scientist,Argiculture,Affluent Customer,N,No,13,67 Northport Avenue,3805,VIC,Australia,7,166,1.175
Sawyer,Sponton,Male,36,1956-02-22,67.0,Help Desk Technician,Property,Mass Customer,N,Yes,10,5 Golf Terrace,2126,NSW,Australia,11,166,1.175
Feodor,Vickers,Male,60,1989-11-18,33.0,VP Quality Control,Financial Services,Mass Customer,N,Yes,4,40809 Truax Way,2209,NSW,Australia,6,173,1.171875
Paten,Cayet,Male,56,1995-02-19,28.0,Assistant Manager,Manufacturing,Affluent Customer,N,Yes,16,1398 Burning Wood Way,3850,VIC,Australia,1,174,1.16875
Loria,Tappington,Female,72,1955-09-06,67.0,Research Assistant IV,Property,Mass Customer,N,No,5,3920 Swallow Junction,3038,VIC,Australia,8,174,1.16875
Tanya,Kiefer,Female,54,1992-07-05,30.0,Speech Pathologist,Telecommunications,High Net Worth,N,No,7,4 Warner Park,2146,NSW,Australia,9,174,1.16875
Omero,McDonand,Male,51,1952-04-01,70.0,Software Consultant,Manufacturing,Mass Customer,N,No,16,48 Shoshone Park,2066,NSW,Australia,9,177,1.1625
Iain,Haversham,Male,92,1950-12-26,72.0,Sales Representative,Retail,Mass Customer,N,Yes,13,170 Briar Crest Place,2120,NSW,Australia,10,177,1.1625
Keriann,Newham,Female,71,1975-03-26,47.0,Assistant Manager,Financial Services,Mass Customer,N,No,5,0193 Northland Street,4179,QLD,Australia,9,177,1.1625
Conroy,Rappaport,Male,39,1965-01-08,58.0,Assistant Manager,Health,High Net Worth,N,No,9,5219 Pearson Drive,2148,NSW,Australia,9,181,1.158125
Dorian,Rustman,Male,78,1974-12-09,48.0,Junior Executive,Manufacturing,Mass Customer,N,No,18,6156 Summit Center,4352,QLD,Australia,7,181,1.158125
Harlin,Mazin,Male,34,1974-03-25,48.0,Computer Systems Analyst I,Manufacturing,Mass Customer,N,Yes,13,735 Westridge Road,2454,NSW,Australia,7,181,1.158125
Eustacia,Dornan,Female,68,1985-09-02,37.0,Account Representative IV,Property,Mass Customer,N,No,5,1190 Hanson Street,3806,VIC,Australia,9,181,1.158125
Maury,Galego,Male,65,1992-07-27,30.0,Social Worker,Health,High Net Worth,N,Yes,3,370 Division Junction,3032,VIC,Australia,10,181,1.158125
Reggie,Kernar,Female,26,1971-11-28,51.0,Senior Editor,Financial Services,High Net Worth,N,No,17,90 Northport Hill,2228,NSW,Australia,10,181,1.158125
Kinna,Kollasch,Female,7,1986-11-09,36.0,Safety Technician I,Property,High Net Worth,N,No,9,232 Knutson Park,4060,QLD,Australia,10,188,1.15625
Maurizio,Comi,Male,74,1996-05-30,26.0,VP Product Management,IT,Affluent Customer,N,No,10,25805 Eagan Place,2766,NSW,Australia,9,190,1.15546875
Elbertina,Fendley,Female,32,1992-03-27,30.0,Physical Therapy Assistant,Property,Affluent Customer,N,No,8,743 Debra Court,2117,NSW,Australia,11,191,1.15
Franklin,Wohler,Male,55,1938-10-16,84.0,Clinical Specialist,Health,Mass Customer,N,Yes,7,6966 Delladonna Street,2250,NSW,Australia,8,191,1.15
Allyson,Petchell,Female,16,1970-03-19,52.0,Human Resources Manager,Telecommunications,High Net Worth,N,No,10,98221 Pennsylvania Place,2170,NSW,Australia,8,191,1.15
Ermentrude,Heindle,Female,47,1969-08-02,53.0,GIS Technical Architect,Argiculture,Mass Customer,N,No,7,307 Knutson Center,2226,NSW,Australia,10,191,1.15
Alanna,Lerway,Female,26,1944-01-05,79.0,Dental Hygienist,Health,Mass Customer,N,Yes,11,593 Alpine Drive,3195,VIC,Australia,12,195,1.1475
Vincent,Jopke,Male,6,1972-03-10,50.0,Analog Circuit Design manager,Property,Affluent Customer,N,No,16,45788 Stang Plaza,3687,VIC,Australia,3,195,1.1475
Charlena,Berney,Female,55,1966-01-02,57.0,Geological Engineer,Manufacturing,High Net Worth,N,Yes,12,496 Logan Center,4207,QLD,Australia,4,195,1.1475
Engracia,Dobbs,Female,84,1959-04-19,63.0,other,Health,Mass Customer,N,No,15,72 Eliot Place,2250,NSW,Australia,8,202,1.140625
Glyn,,Male,47,1945-02-13,78.0,General Manager,Manufacturing,Affluent Customer,N,Yes,21,67 Bluejay Plaza,2300,NSW,Australia,9,202,1.140625
