customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,Age,Age_group,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure
26,Trixi,Ginnelly,Female,12,1978-06-10,44.0,40-50,Editor,Financial Services,Mass Customer,N,Yes,16.0
27,Garvin,Klees,Male,37,1978-09-25,44.0,40-50,Research Nurse,Health,Mass Customer,N,Yes,12.0
28,Fee,Zellmer,Male,5,1973-09-30,49.0,40-50,Senior Quality Engineer,Health,Affluent Customer,N,Yes,21.0
29,Mona,Sancraft,Female,62,1968-06-22,54.0,50-60,Safety Technician III,Manufacturing,Mass Customer,N,No,19.0
30,Darrick,Helleckas,Male,18,1961-10-18,61.0,60-70,Other,IT,Affluent Customer,N,Yes,6.0
31,Star,Praton,Female,3,1962-11-24,60.0,50-60,Staff Accountant III,Telecommunications,High Net Worth,N,Yes,14.0
32,Marion,Vanichkin,Female,17,1995-04-20,27.0,20-30,Legal Assistant,Manufacturing,Affluent Customer,N,No,4.0
35,Margaretha,Strettle,Female,40,1963-09-28,59.0,50-60,Information Systems Manager,Health,High Net Worth,N,Yes,16.0
37,Laurie,Dwerryhouse,Female,46,1985-12-22,37.0,30-40,Social Worker,Health,High Net Worth,N,No,16.0
38,Cordi,Merman,Female,37,1955-10-29,67.0,60-70,Senior Cost Accountant,Financial Services,Affluent Customer,N,No,20.0
39,Hunfredo,Smalley,Male,5,1979-04-16,43.0,40-50,Assistant Media Planner,Entertainment,Mass Customer,N,No,22.0
40,Tomasine,Jerche,Female,91,1981-10-27,41.0,40-50,Payment Adjustment Coordinator,Manufacturing,Affluent Customer,N,No,14.0
41,Basilius,Coupe,Male,64,1976-04-14,46.0,40-50,Food Chemist,Health,Mass Customer,N,No,16.0
42,Chiquita,Durnall,Female,24,1977-03-28,45.0,40-50,Accountant III,Manufacturing,Mass Customer,N,No,18.0
43,Indira,Belt,Female,38,1983-03-01,40.0,30-40,Director of Sales,Retail,Mass Customer,N,No,5.0
44,Neron,Verick,Male,63,1981-10-18,41.0,40-50,Assistant Media Planner,Entertainment,Affluent Customer,N,Yes,17.0
45,Trace,Woodhead,Male,64,1975-09-23,47.0,40-50,Senior Financial Analyst,Financial Services,Mass Customer,N,No,8.0
47,Matthew,Jeaycock,Male,51,1992-10-22,30.0,20-30,Registered Nurse,Health,Affluent Customer,N,No,2.0
50,Whitby,Schapero,Male,38,1980-10-01,42.0,40-50,Account Executive,Manufacturing,Mass Customer,N,Yes,16.0
51,Fidelio,Dilke,Male,68,1959-12-05,63.0,60-70,Computer Systems Analyst II,Retail,Mass Customer,N,No,18.0
52,Curran,Bentson,Male,57,1988-06-22,34.0,30-40,Other,Financial Services,Mass Customer,N,Yes,13.0
53,Agnella,Gocke,Female,22,1954-04-18,68.0,60-70,Software Test Engineer II,Financial Services,Mass Customer,N,No,16.0
54,Loralyn,Wonfor,Female,2,1966-07-24,56.0,50-60,Sales Associate,Property,Mass Customer,N,Yes,18.0
55,Linc,Jillions,Male,48,1956-09-24,66.0,60-70,Paralegal,Financial Services,Affluent Customer,N,Yes,7.0
56,Reese,Ensor,Male,44,1996-07-04,26.0,20-30,VP Sales,Property,Mass Customer,N,Yes,4.0
58,Dalenna,Pinnock,Female,26,1967-07-04,55.0,50-60,Office Assistant III,Financial Services,Affluent Customer,N,Yes,17.0
60,Nadiya,Champerlen,Female,18,1970-02-04,53.0,50-60,Other,Manufacturing,Mass Customer,N,No,10.0
61,Kacey,Rowbottom,Female,47,1959-11-29,63.0,60-70,Help Desk Operator,Property,High Net Worth,N,No,13.0
62,Sorcha,Roggers,Female,38,1979-07-06,43.0,40-50,Other,IT,Mass Customer,N,Yes,22.0
63,Ebony,Zini,Female,58,1965-07-03,57.0,50-60,Senior Quality Engineer,Retail,Mass Customer,N,Yes,16.0
64,Gerek,Yve,Male,73,1978-03-25,44.0,40-50,Legal Assistant,IT,High Net Worth,N,No,4.0
65,Yale,Tanser,Male,21,1976-04-01,46.0,40-50,Information Systems Manager,Financial Services,Affluent Customer,N,Yes,15.0
66,Anselm,Gawne,Male,46,2002-03-11,20.0,1-20,Account Executive,Argiculture,High Net Worth,N,No,1.0
67,Vernon,,Male,67,1960-06-14,62.0,60-70,Web Developer II,Retail,Mass Customer,N,No,18.0
70,Foster,Vannoort,Male,78,1993-02-27,30.0,20-30,Paralegal,Financial Services,Affluent Customer,N,No,8.0
71,Hoyt,Glavias,Male,30,1985-01-27,38.0,30-40,Research Associate,Argiculture,Affluent Customer,N,Yes,12.0
72,Sammy,Cheese,Male,93,1972-02-13,51.0,50-60,Administrative Officer,Manufacturing,Affluent Customer,N,Yes,16.0
75,Dollie,Sealy,Female,28,1978-07-15,44.0,40-50,VP Product Management,Property,Mass Customer,N,No,19.0
76,Rea,Hasser,Female,20,1978-01-23,45.0,40-50,Statistician II,Retail,High Net Worth,N,Yes,18.0
77,Shermie,Andrin,Male,79,1989-09-12,33.0,30-40,Automation Specialist IV,Financial Services,Mass Customer,N,No,7.0
78,Arch,Van der Kruis,Male,37,1985-03-12,37.0,30-40,Business Systems Development Analyst,Argiculture,Affluent Customer,N,No,8.0
79,Tybi,Silliman,Female,76,1968-10-02,54.0,50-60,Account Executive,Manufacturing,Mass Customer,N,No,18.0
80,Pablo,Small,Male,11,1978-04-24,44.0,40-50,Data Coordiator,Entertainment,Mass Customer,N,No,13.0
81,Bee,Blazewicz,Female,58,1986-09-04,36.0,30-40,Other,Health,High Net Worth,N,No,13.0
82,Gleda,Cokely,Female,93,1965-06-28,57.0,50-60,Software Test Engineer III,Property,High Net Worth,N,No,19.0
83,Kerr,Simmell,Male,97,1967-02-26,56.0,50-60,Internal Auditor,IT,Mass Customer,N,Yes,18.0
86,Job,Sleney,Male,75,1989-03-04,33.0,30-40,Occupational Therapist,Health,High Net Worth,N,Yes,7.0
87,Fields,Langdon,Male,78,1974-04-23,48.0,40-50,Editor,Financial Services,Mass Customer,N,No,8.0
88,Malynda,Tumber,Female,41,1966-02-03,57.0,50-60,Help Desk Operator,Property,High Net Worth,N,Yes,7.0
89,Benedicto,Hoxey,Male,74,1967-01-22,56.0,50-60,Speech Pathologist,Health,Mass Customer,N,Yes,14.0
90,Cary,Garron,Male,76,1984-11-12,38.0,30-40,Quality Control Specialist,Manufacturing,Mass Customer,N,No,11.0
91,Dylan,Meaker,Male,69,1955-02-24,68.0,60-70,Senior Financial Analyst,Financial Services,Affluent Customer,N,Yes,17.0
92,Jodee,Judkins,Female,98,1980-09-11,42.0,40-50,Recruiting Manager,Health,Mass Customer,N,No,12.0
93,Gordon,Gowar,Male,63,1976-07-16,46.0,40-50,Project Manager,Retail,Mass Customer,N,Yes,10.0
94,Wallache,Simchenko,Male,33,1974-08-07,48.0,40-50,Civil Engineer,Manufacturing,Mass Customer,N,No,21.0
95,Nomi,Mallinder,Female,67,1960-12-25,62.0,60-70,Software Engineer III,Manufacturing,Affluent Customer,N,Yes,8.0
96,Heath,Olford,Male,33,1968-08-31,54.0,50-60,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,15.0
97,Arne,Corain,Male,16,1979-07-27,43.0,40-50,Community Outreach Specialist,Financial Services,Mass Customer,N,Yes,10.0
98,Allianora,Babalola,Female,19,1956-03-17,66.0,60-70,Safety Technician IV,Health,Mass Customer,N,No,7.0
99,Reggie,Mulliner,Male,97,1998-06-13,24.0,20-30,VP Accounting,Financial Services,Mass Customer,N,No,3.0
100,Tripp,Steed,Male,80,1968-05-11,54.0,50-60,General Manager,Financial Services,Mass Customer,N,Yes,4.0
101,Goran,Kwietek,Male,83,1975-12-29,47.0,40-50,Nurse Practicioner,Manufacturing,High Net Worth,N,No,11.0
102,Langsdon,Tranfield,Male,51,1956-11-27,66.0,60-70,Quality Control Specialist,Manufacturing,Affluent Customer,N,No,16.0
103,Ethyl,Runham,Female,49,1997-04-21,25.0,20-30,Product Engineer,Financial Services,Affluent Customer,N,Yes,4.0
104,Odille,Panketh,Female,40,1978-06-06,44.0,40-50,Automation Specialist II,Health,Mass Customer,N,Yes,9.0
105,Maribeth,Pristnor,Female,25,2001-09-17,21.0,20-30,Recruiting Manager,Manufacturing,Mass Customer,N,No,1.0
106,Glyn,,Male,54,1966-07-03,56.0,50-60,Software Test Engineer III,Health,High Net Worth,N,Yes,18.0
107,Pris,Stallebrass,Female,97,1990-07-01,32.0,30-40,Nurse Practicioner,Financial Services,Mass Customer,N,Yes,9.0
110,Sascha,St. Quintin,Male,23,2000-07-31,22.0,20-30,Other,Financial Services,Affluent Customer,N,No,1.0
112,Shena,Parren,Female,88,1975-08-12,47.0,40-50,Marketing Manager,Retail,High Net Worth,N,No,12.0
114,Sunny,Swindells,Female,10,1985-10-23,37.0,30-40,Teacher,Entertainment,Affluent Customer,N,No,8.0
115,Alberik,Mereweather,Male,77,1981-12-21,41.0,40-50,Account Executive,Health,Mass Customer,N,No,18.0
116,Scottie,Swiffen,Male,49,1999-02-05,24.0,20-30,Assistant Professor,Manufacturing,Affluent Customer,N,Yes,2.0
117,Nance,Suttling,Female,75,1982-02-23,41.0,40-50,Marketing Manager,Manufacturing,Mass Customer,N,No,15.0
120,Sloan,Wagg,Male,80,1978-09-02,44.0,40-50,Legal Assistant,Financial Services,High Net Worth,N,Yes,4.0
121,Myles,Pauncefort,Male,82,1957-10-02,65.0,60-70,Graphic Designer,Manufacturing,Mass Customer,N,No,15.0
122,Colver,Itter,Male,87,1979-04-19,43.0,40-50,Quality Control Specialist,Financial Services,Mass Customer,N,Yes,12.0
123,Almeta,Kalinsky,Female,85,1988-12-03,34.0,30-40,Analyst Programmer,Financial Services,High Net Worth,N,No,15.0
124,Kath,Cunney,Female,27,1995-05-03,27.0,20-30,Administrative Assistant II,Health,High Net Worth,N,Yes,5.0
125,Darrelle,Antoniewski,Female,94,1960-03-17,62.0,60-70,Computer Systems Analyst II,Property,Mass Customer,N,No,16.0
126,Norman,Cliff,Male,53,1992-10-15,30.0,20-30,Administrative Officer,Health,Mass Customer,N,Yes,3.0
127,Merrili,Whitear,Female,81,1974-12-03,48.0,40-50,Compensation Analyst,Financial Services,Mass Customer,N,No,19.0
128,Isidro,Cypler,Male,73,1977-07-17,45.0,40-50,Systems Administrator III,Property,Mass Customer,N,Yes,12.0
129,Weidar,Silkstone,Male,64,1985-07-20,37.0,30-40,Financial Advisor,Financial Services,High Net Worth,N,Yes,19.0
130,Raddy,Delete,Male,32,1997-07-18,25.0,20-30,Chemical Engineer,Manufacturing,Mass Customer,N,No,1.0
131,Jana,Renyard,Female,57,1964-10-16,58.0,50-60,Administrative Officer,Retail,High Net Worth,N,No,8.0
132,Celesta,Willavoys,Female,5,1963-07-07,59.0,50-60,Web Designer I,Manufacturing,Mass Customer,N,Yes,9.0
133,Eldridge,Fiddeman,Male,12,1977-06-13,45.0,40-50,VP Accounting,Financial Services,Mass Customer,N,Yes,16.0
134,Merna,McCulloch,Female,34,1997-08-01,25.0,20-30,Legal Assistant,Telecommunications,Affluent Customer,N,Yes,5.0
135,Rosalia,Sigart,Female,18,1975-01-18,48.0,40-50,Internal Auditor,IT,Mass Customer,N,No,3.0
136,Mel,Bennet,Male,46,1973-05-26,49.0,40-50,Senior Developer,Manufacturing,High Net Worth,N,Yes,7.0
137,Vaughn,Artin,Male,27,1987-11-21,35.0,30-40,Office Assistant II,Property,High Net Worth,N,No,10.0
138,Onofredo,Franc,Male,5,1985-04-28,37.0,30-40,Recruiter,Financial Services,Affluent Customer,N,Yes,13.0
139,Gar,,Male,1,1964-07-28,58.0,50-60,Operator,Telecommunications,Affluent Customer,N,No,4.0
140,Morrie,Flaxon,Male,9,1994-05-20,28.0,20-30,Programmer Analyst III,Manufacturing,Mass Customer,N,No,2.0
141,Townsend,Trobe,Male,67,1954-06-25,68.0,60-70,Teacher,Financial Services,High Net Worth,N,Yes,10.0
142,Bentley,Fortesquieu,Male,57,1967-08-07,55.0,50-60,Quality Engineer,Health,Affluent Customer,N,No,17.0
143,Kendall,Figg,Male,19,1957-09-01,65.0,60-70,Operator,Argiculture,Mass Customer,N,Yes,11.0
145,Filippo,Ferrara,Male,33,1997-07-21,25.0,20-30,Account Executive,Financial Services,Mass Customer,N,No,4.0
146,Ricoriki,Matlock,Male,34,1985-04-08,37.0,30-40,Quality Control Specialist,Manufacturing,Mass Customer,N,No,8.0
147,Rea,Pattrick,Female,32,1973-12-06,49.0,40-50,Analog Circuit Design manager,Health,Mass Customer,N,Yes,10.0
149,Drucy,Kausche,Female,41,1995-01-31,28.0,20-30,Research Nurse,Health,Mass Customer,N,Yes,1.0
150,Bradly,Crosse,Male,6,1983-08-23,39.0,30-40,Cost Accountant,Financial Services,Affluent Customer,N,No,17.0
151,Donnie,Brimson,Male,36,1965-01-31,58.0,50-60,Marketing Manager,Manufacturing,Mass Customer,N,Yes,13.0
152,Stephana,Cardew,Female,5,1981-03-03,41.0,40-50,Compensation Analyst,Financial Services,Mass Customer,N,No,16.0
153,Lorilyn,Walshe,Female,73,1977-07-28,45.0,40-50,Assistant Media Planner,Entertainment,Mass Customer,N,Yes,12.0
155,Orran,Bogges,Male,4,1985-12-28,37.0,30-40,Quality Engineer,Manufacturing,Mass Customer,N,No,10.0
156,Shayla,Rimmington,Female,23,1979-09-09,43.0,40-50,Cost Accountant,Financial Services,Mass Customer,N,Yes,11.0
157,Chad,Houtby,Male,97,1974-11-23,48.0,40-50,Financial Advisor,Financial Services,Affluent Customer,N,No,16.0
159,Arin,Matskevich,Male,90,1987-05-12,35.0,30-40,Research Nurse,Health,Affluent Customer,N,No,13.0
160,Wake,Durning,Male,5,1964-07-15,58.0,50-60,Registered Nurse,Health,Mass Customer,N,No,18.0
162,Port,Acuna,Male,90,1979-08-12,43.0,40-50,Nurse Practicioner,IT,Mass Customer,N,No,15.0
163,Kessia,Helder,Female,58,1976-09-06,46.0,40-50,Librarian,Entertainment,High Net Worth,N,Yes,14.0
164,Aarika,Van Vuuren,Female,55,1999-08-07,23.0,20-30,Senior Editor,Retail,Affluent Customer,N,Yes,1.0
165,Aldon,Roelofs,Male,61,1984-03-25,38.0,30-40,Administrative Officer,Argiculture,Mass Customer,N,Yes,12.0
166,Elston,Oleszczak,Male,54,1955-06-12,67.0,60-70,Structural Analysis Engineer,Manufacturing,Affluent Customer,N,No,6.0
167,Nathalie,Tideswell,Female,95,1969-10-27,53.0,50-60,Other,Health,High Net Worth,N,Yes,17.0
169,Alfy,Bruhnke,Male,20,1957-10-19,65.0,60-70,Data Coordiator,Telecommunications,High Net Worth,N,Yes,5.0
170,Jammal,Gever,Male,80,1975-06-02,47.0,40-50,Pharmacist,Health,High Net Worth,N,No,21.0
171,Halli,Davidoff,Female,62,1970-12-04,52.0,50-60,Assistant Manager,Manufacturing,Mass Customer,N,No,10.0
172,Hilton,Carney,Male,54,1988-09-12,34.0,30-40,Editor,Manufacturing,Affluent Customer,N,Yes,6.0
173,Ebba,Hanselmann,Female,99,1997-01-02,26.0,20-30,General Manager,Health,Affluent Customer,N,No,1.0
174,Catie,Tosspell,Female,93,1989-11-26,33.0,30-40,Food Chemist,Health,Mass Customer,N,No,12.0
175,Templeton,Hambrook,Male,36,1975-11-28,47.0,40-50,Quality Engineer,Manufacturing,Affluent Customer,N,No,5.0
176,Angelo,Clayal,Male,39,1992-04-13,30.0,20-30,Accountant I,Property,Mass Customer,N,No,10.0
177,Ondrea,Pablos,Female,25,1989-11-09,33.0,30-40,Professor,Financial Services,High Net Worth,N,No,4.0
179,Esteban,Sewill,Male,23,1966-05-11,56.0,50-60,Environmental Tech,Manufacturing,High Net Worth,N,Yes,6.0
180,Trisha,Neasham,Female,16,1971-09-17,51.0,50-60,Web Designer III,Argiculture,Affluent Customer,N,No,14.0
181,Pavla,Braunle,Female,49,1982-11-21,40.0,30-40,Senior Editor,Manufacturing,Mass Customer,N,No,9.0
182,Lydon,Dahlman,Male,99,1992-11-20,30.0,20-30,Sales Associate,Financial Services,Affluent Customer,N,Yes,7.0
183,Dannie,Hissie,Female,7,1997-08-05,25.0,20-30,Geologist III,Retail,Affluent Customer,N,No,3.0
184,Nappie,Paolo,Male,40,1971-12-13,51.0,50-60,Marketing Manager,Manufacturing,High Net Worth,N,Yes,7.0
185,Crosby,Walcot,Male,80,1979-12-13,43.0,40-50,Other,Property,Mass Customer,N,Yes,13.0
186,Mireielle,Jeppe,Female,46,1974-05-06,48.0,40-50,Software Test Engineer I,Financial Services,Mass Customer,N,No,3.0
188,Audry,Seine,Female,54,1975-06-22,47.0,40-50,Safety Technician II,Property,High Net Worth,N,Yes,13.0
189,Umberto,Torricella,Male,73,1981-07-19,41.0,40-50,Safety Technician I,Financial Services,Affluent Customer,N,No,10.0
190,Hayley,Girardengo,Female,42,1979-02-04,44.0,40-50,Registered Nurse,Health,Affluent Customer,N,No,10.0
192,Goldi,Osler,Female,2,1978-11-19,44.0,40-50,Junior Executive,Health,Mass Customer,N,Yes,8.0
193,Foss,Hardes,Male,13,1964-07-22,58.0,50-60,Recruiting Manager,Manufacturing,Mass Customer,N,Yes,12.0
194,Ursala,Ferrai,Female,4,1974-11-16,48.0,40-50,Web Developer III,Financial Services,Affluent Customer,N,No,10.0
195,Talyah,Rylatt,Female,34,1958-11-14,64.0,60-70,Project Manager,Manufacturing,Mass Customer,N,No,6.0
196,Swen,Odhams,Male,90,1966-02-22,57.0,50-60,Programmer Analyst II,Manufacturing,High Net Worth,N,No,6.0
198,Vanya,Gumb,Female,82,1981-11-29,41.0,40-50,Assistant Media Planner,Entertainment,Mass Customer,N,No,16.0
199,Verla,Alven,Female,61,1978-02-13,45.0,40-50,Junior Executive,Health,Mass Customer,N,Yes,21.0
200,Hube,Weald,Male,7,1957-02-04,66.0,60-70,Physical Therapy Assistant,Property,Affluent Customer,N,Yes,19.0
201,Salem,Huie,Male,45,1966-04-20,56.0,50-60,Design Engineer,Manufacturing,Mass Customer,N,Yes,11.0
202,Audie,Pillinger,Female,38,1963-06-24,59.0,50-60,Librarian,Entertainment,Affluent Customer,N,Yes,16.0
203,Donovan,Conry,Male,71,1964-01-13,59.0,50-60,Senior Quality Engineer,Argiculture,Mass Customer,N,Yes,11.0
204,Thorny,Hackworth,Male,56,1976-10-01,46.0,40-50,Editor,Financial Services,Mass Customer,N,No,5.0
205,Rolfe,Kellard,Male,18,1958-12-01,64.0,60-70,Administrative Assistant II,Financial Services,Mass Customer,N,Yes,6.0
208,Rutter,Excell,Male,57,1994-10-31,28.0,20-30,Office Assistant III,Property,High Net Worth,N,No,5.0
210,Albrecht,Thomasson,Male,50,1963-11-18,59.0,50-60,Assistant Manager,Property,Mass Customer,N,No,18.0
211,Beitris,,Female,6,1974-03-04,48.0,40-50,VP Marketing,Manufacturing,Mass Customer,N,Yes,5.0
212,Nanice,Ellse,Female,21,2001-11-19,21.0,20-30,Desktop Support Technician,IT,Affluent Customer,N,No,1.0
213,Lockwood,Exroll,Male,13,1996-05-14,26.0,20-30,Actuary,Financial Services,High Net Worth,N,Yes,6.0
214,Jeramie,Cellier,Male,82,1957-11-29,65.0,60-70,Food Chemist,Health,Mass Customer,N,No,6.0
215,Debera,Foxworthy,Female,37,1974-06-24,48.0,40-50,Assistant Professor,Retail,High Net Worth,N,Yes,18.0
216,Cinderella,Parcall,Female,12,1995-01-12,28.0,20-30,Quality Engineer,Financial Services,High Net Worth,N,Yes,7.0
217,Jeralee,Quartly,Female,63,1979-12-09,43.0,40-50,Other,Manufacturing,High Net Worth,N,No,16.0
218,Stefa,Dunnan,Female,37,1993-08-06,29.0,20-30,Administrative Officer,Property,High Net Worth,N,Yes,8.0
219,Markus,Mughal,Male,9,1964-11-25,58.0,50-60,Database Administrator III,Health,Mass Customer,N,No,7.0
220,Jeniffer,Apark,Female,79,1954-05-10,68.0,60-70,Electrical Engineer,Manufacturing,High Net Worth,N,No,9.0
221,Mara,Bloore,Female,14,1980-03-10,42.0,40-50,Tax Accountant,Manufacturing,Mass Customer,N,No,14.0
222,Nev,Larive,Male,89,1978-09-03,44.0,40-50,Clinical Specialist,Health,Mass Customer,N,No,16.0
224,Morgun,Girvan,Male,2,1967-12-03,55.0,50-60,Compensation Analyst,Financial Services,Affluent Customer,N,No,17.0
225,Brittaney,Pring,Female,84,1977-03-11,45.0,40-50,Pharmacist,Health,Affluent Customer,N,No,13.0
226,Bondie,Letty,Male,96,1977-11-11,45.0,40-50,Database Administrator IV,Manufacturing,Mass Customer,N,No,20.0
227,Wendall,McKeand,Male,99,1973-08-14,49.0,40-50,Accountant I,Entertainment,Mass Customer,N,No,18.0
228,Lucia,Pickervance,Female,59,1986-05-25,36.0,30-40,Systems Administrator II,Manufacturing,High Net Worth,N,No,12.0
229,Vaughn,Lambis,Male,30,1966-03-06,56.0,50-60,Other,Property,High Net Worth,N,No,19.0
230,Maegan,Scyone,Female,74,1954-06-24,68.0,60-70,Internal Auditor,Property,High Net Worth,N,No,11.0
231,Basile,Winsor,Male,48,1995-08-05,27.0,20-30,Design Engineer,Financial Services,Mass Customer,N,Yes,3.0
232,Zaria,Koeppke,Female,94,1987-11-11,35.0,30-40,Professor,Retail,Mass Customer,N,No,12.0
233,Art,Barwell,Male,34,1986-08-08,36.0,30-40,Environmental Tech,Property,Mass Customer,N,No,13.0
234,Mead,Alpes,Female,71,1969-08-12,53.0,50-60,Chief Design Engineer,Retail,High Net Worth,N,No,12.0
235,Leona,Phateplace,Female,30,1976-12-26,46.0,40-50,Social Worker,Health,Mass Customer,N,No,15.0
236,Tybalt,Gillingwater,Male,79,1954-10-30,68.0,60-70,Research Nurse,Health,Affluent Customer,N,No,14.0
237,Reginald,Dartan,Male,18,1974-03-07,48.0,40-50,Account Coordinator,Property,High Net Worth,N,Yes,11.0
239,Wells,Pressman,Male,62,1992-12-13,30.0,20-30,Registered Nurse,Health,Affluent Customer,N,No,3.0
240,Gavin,Fawks,Male,49,1989-07-28,33.0,30-40,Administrative Assistant III,IT,High Net Worth,N,Yes,15.0
241,Quillan,Duigan,Male,94,1987-05-09,35.0,30-40,Quality Engineer,Entertainment,Mass Customer,N,No,20.0
242,Taite,Droghan,Male,17,1992-03-20,30.0,20-30,Nurse,Property,Affluent Customer,N,No,8.0
243,Barbara,Croxley,Female,94,1976-09-02,46.0,40-50,Teacher,Manufacturing,High Net Worth,N,Yes,14.0
244,Germayne,Sperry,Male,57,1974-11-25,48.0,40-50,Other,Retail,Affluent Customer,N,No,8.0
245,Noell,Grahlmans,Female,6,2001-09-26,21.0,20-30,Associate Professor,Financial Services,Affluent Customer,N,No,1.0
246,Binny,Whight,Female,63,1991-02-28,32.0,30-40,Technical Writer,Manufacturing,High Net Worth,N,No,9.0
247,Kristal,Joysey,Female,62,1983-05-06,39.0,30-40,Staff Accountant II,Financial Services,High Net Worth,N,Yes,13.0
248,Inger,Eskell,Female,76,1978-04-15,44.0,40-50,Clinical Specialist,Health,Affluent Customer,N,Yes,12.0
249,D'arcy,Slay,Male,65,1992-09-13,30.0,20-30,Quality Control Specialist,IT,High Net Worth,N,No,9.0
250,Kristofer,,Male,53,1988-04-15,34.0,30-40,Legal Assistant,Health,Mass Customer,N,Yes,13.0
251,Mala,,Female,88,1977-12-24,45.0,40-50,VP Sales,Financial Services,Affluent Customer,N,Yes,10.0
252,Anthea,Ruskin,Female,39,1983-01-24,40.0,30-40,Account Coordinator,Property,Mass Customer,N,Yes,13.0
253,Amalee,Choak,Female,82,1997-05-11,25.0,20-30,Food Chemist,Health,Mass Customer,N,Yes,1.0
254,Barbie,Rubi,Female,98,1961-09-22,61.0,60-70,Information Systems Manager,Retail,Mass Customer,N,No,14.0
255,Keeley,Kruger,Female,2,1954-01-15,69.0,60-70,Desktop Support Technician,IT,Mass Customer,N,No,5.0
256,Linell,Beadle,Female,16,1975-05-07,47.0,40-50,Director of Sales,Health,High Net Worth,N,Yes,21.0
257,Marissa,,Female,70,1966-02-08,57.0,50-60,Sales Associate,Manufacturing,Affluent Customer,N,Yes,19.0
258,Othella,Keher,Female,24,1992-05-03,30.0,20-30,Administrative Officer,Manufacturing,High Net Worth,N,No,9.0
259,Venita,Dymick,Female,70,1983-07-22,39.0,30-40,Senior Developer,Health,High Net Worth,N,Yes,3.0
260,Farand,Marriner,Female,47,1979-08-30,43.0,40-50,Senior Quality Engineer,Health,High Net Worth,N,Yes,22.0
262,Cordie,Petrelli,Male,97,1977-12-23,45.0,40-50,Other,Health,High Net Worth,N,Yes,10.0
263,Tonia,Leigh,Female,89,1985-11-19,37.0,30-40,Dental Hygienist,Health,High Net Worth,N,No,7.0
264,Jedd,Spiby,Male,31,1977-12-07,45.0,40-50,Technical Writer,Health,Mass Customer,N,No,11.0
265,Pennie,Stoile,Male,74,1965-10-05,57.0,50-60,Sales Representative,Retail,High Net Worth,N,Yes,18.0
266,Lelia,Garatty,Female,69,1989-07-19,33.0,30-40,Account Executive,Retail,Affluent Customer,N,No,18.0
268,Kacie,Kidston,Female,60,1978-10-18,44.0,40-50,Chemical Engineer,Manufacturing,Mass Customer,N,No,10.0
269,Zacherie,Grindley,Male,55,1954-09-19,68.0,60-70,Nurse Practicioner,Property,Mass Customer,N,Yes,9.0
271,Doll,Burtwell,Female,51,1991-02-13,32.0,30-40,Financial Advisor,Financial Services,Mass Customer,N,No,4.0
